,precision,recall,f1-score,support
Fake,0.9974337040205303,0.9931856899488927,0.9953051643192489,4696.0
Real,0.9925650557620818,0.9971988795518207,0.9948765719608756,4284.0
accuracy,0.9951002227171493,0.9951002227171493,0.9951002227171493,0.9951002227171493
macro avg,0.994999379891306,0.9951922847503567,0.9950908681400623,8980.0
weighted avg,0.995111066031756,0.9951002227171493,0.9951006999914904,8980.0
